,gen,individual,acc_explore,acc_full,weighted_bits,bits
0,10,8,0.764153242111206,1,1571.5,"[13 11 13 16 13 12 14  7 13  8 11  9  8  6 15 15 15 15 14 12 11 13 14 16
 12 12 11 15 13 13 15 12 13 15 14 13 12 14 14 15 16 14 14]"
1,11,6,0.764153242111206,1,1571.5,"[13 11 13 16 13 12 14  7 13  8 11  9  8  6 15 15 15 15 14 12 11 13 14 16
 12 12 11 15 13 13 15 12 13 15 14 13 12 14 14 15 16 14 14]"
2,12,6,0.764153242111206,1,1571.5,"[13 11 13 16 13 12 14  7 13  8 11  9  8  6 15 15 15 15 14 12 11 13 14 16
 12 12 11 15 13 13 15 12 13 15 14 13 12 14 14 15 16 14 14]"
3,13,6,0.764153242111206,1,1571.5,"[13 11 13 16 13 12 14  7 13  8 11  9  8  6 15 15 15 15 14 12 11 13 14 16
 12 12 11 15 13 13 15 12 13 15 14 13 12 14 14 15 16 14 14]"
4,14,6,0.764153242111206,1,1571.5,"[13 11 13 16 13 12 14  7 13  8 11  9  8  6 15 15 15 15 14 12 11 13 14 16
 12 12 11 15 13 13 15 12 13 15 14 13 12 14 14 15 16 14 14]"
5,15,19,0.764153242111206,1,1501.0,"[13 11 13 15 13 12 14  7 13  8  7  9  8  6 15 15 15 15 14 12 11 13 14 16
 12  6 10 15  9 13 14 12 13 15 14  9 12 14 11 15 16 14 14]"
6,16,1,0.764153242111206,1,1501.0,"[13 11 13 15 13 12 14  7 13  8  7  9  8  6 15 15 15 15 14 12 11 13 14 16
 12  6 10 15  9 13 14 12 13 15 14  9 12 14 11 15 16 14 14]"
7,17,0,0.764153242111206,1,1501.0,"[13 11 13 15 13 12 14  7 13  8  7  9  8  6 15 15 15 15 14 12 11 13 14 16
 12  6 10 15  9 13 14 12 13 15 14  9 12 14 11 15 16 14 14]"
8,18,0,0.764153242111206,1,1501.0,"[13 11 13 15 13 12 14  7 13  8  7  9  8  6 15 15 15 15 14 12 11 13 14 16
 12  6 10 15  9 13 14 12 13 15 14  9 12 14 11 15 16 14 14]"
9,19,0,0.764153242111206,1,1501.0,"[13 11 13 15 13 12 14  7 13  8  7  9  8  6 15 15 15 15 14 12 11 13 14 16
 12  6 10 15  9 13 14 12 13 15 14  9 12 14 11 15 16 14 14]"
10,20,1,0.764153242111206,1,1501.0,"[13 11 13 15 13 12 14  7 13  8  7  9  8  6 15 15 15 15 14 12 11 13 14 16
 12  6 10 15  9 13 14 12 13 15 14  9 12 14 11 15 16 14 14]"
11,21,0,0.764153242111206,1,1501.0,"[13 11 13 15 13 12 14  7 13  8  7  9  8  6 15 15 15 15 14 12 11 13 14 16
 12  6 10 15  9 13 14 12 13 15 14  9 12 14 11 15 16 14 14]"
12,22,1,0.764153242111206,1,1501.0,"[13 11 13 15 13 12 14  7 13  8  7  9  8  6 15 15 15 15 14 12 11 13 14 16
 12  6 10 15  9 13 14 12 13 15 14  9 12 14 11 15 16 14 14]"
13,23,0,0.764153242111206,1,1501.0,"[13 11 13 15 13 12 14  7 13  8  7  9  8  6 15 15 15 15 14 12 11 13 14 16
 12  6 10 15  9 13 14 12 13 15 14  9 12 14 11 15 16 14 14]"
14,24,1,0.764153242111206,1,1501.0,"[13 11 13 15 13 12 14  7 13  8  7  9  8  6 15 15 15 15 14 12 11 13 14 16
 12  6 10 15  9 13 14 12 13 15 14  9 12 14 11 15 16 14 14]"
15,5,9,0.7640312314033508,1,1481.0,"[13 11 13 15 13 12 14  7 13  8  7  9  8  6 15 15 16 15  8 12 11 13 14 16
 12  6 10 15  9 13 15 12 13 15 14  9 12 14 11 15 16 14 14]"
16,6,6,0.7640312314033508,1,1481.0,"[13 11 13 15 13 12 14  7 13  8  7  9  8  6 15 15 16 15  8 12 11 13 14 16
 12  6 10 15  9 13 15 12 13 15 14  9 12 14 11 15 16 14 14]"
17,7,5,0.7640312314033508,1,1481.0,"[13 11 13 15 13 12 14  7 13  8  7  9  8  6 15 15 16 15  8 12 11 13 14 16
 12  6 10 15  9 13 15 12 13 15 14  9 12 14 11 15 16 14 14]"
18,8,3,0.7640312314033508,1,1481.0,"[13 11 13 15 13 12 14  7 13  8  7  9  8  6 15 15 16 15  8 12 11 13 14 16
 12  6 10 15  9 13 15 12 13 15 14  9 12 14 11 15 16 14 14]"
19,9,1,0.7640312314033508,1,1481.0,"[13 11 13 15 13 12 14  7 13  8  7  9  8  6 15 15 16 15  8 12 11 13 14 16
 12  6 10 15  9 13 15 12 13 15 14  9 12 14 11 15 16 14 14]"
20,10,0,0.7640312314033508,1,1481.0,"[13 11 13 15 13 12 14  7 13  8  7  9  8  6 15 15 16 15  8 12 11 13 14 16
 12  6 10 15  9 13 15 12 13 15 14  9 12 14 11 15 16 14 14]"
21,11,0,0.7640312314033508,1,1481.0,"[13 11 13 15 13 12 14  7 13  8  7  9  8  6 15 15 16 15  8 12 11 13 14 16
 12  6 10 15  9 13 15 12 13 15 14  9 12 14 11 15 16 14 14]"
22,12,0,0.7640312314033508,1,1481.0,"[13 11 13 15 13 12 14  7 13  8  7  9  8  6 15 15 16 15  8 12 11 13 14 16
 12  6 10 15  9 13 15 12 13 15 14  9 12 14 11 15 16 14 14]"
23,13,0,0.7640312314033508,1,1481.0,"[13 11 13 15 13 12 14  7 13  8  7  9  8  6 15 15 16 15  8 12 11 13 14 16
 12  6 10 15  9 13 15 12 13 15 14  9 12 14 11 15 16 14 14]"
24,14,0,0.7640312314033508,1,1481.0,"[13 11 13 15 13 12 14  7 13  8  7  9  8  6 15 15 16 15  8 12 11 13 14 16
 12  6 10 15  9 13 15 12 13 15 14  9 12 14 11 15 16 14 14]"
